topic_id,cluster,proposed_title,search_intent,target_reader,primary_keyword,related_keywords,recommended_article_type,difficulty_level,funnel_stage,unique_angle,suggested_internal_link,suggested_call_to_action,featured_snippet_opportunity,expert_review_or_source
"LOG-03","Logical reasoning","Contrapositives without the jargon","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “Contrapositives without the jargon” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-04","Logical reasoning","Eliminating impossible options in conditional puzzles","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “Eliminating impossible options in conditional puzzles” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-05","Logical reasoning","The safest way to chain three comparisons","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “The safest way to chain three comparisons” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-06","Logical reasoning","How to spot a hidden assumption in a logic puzzle","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “How to spot a hidden assumption in a logic puzzle” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-07","Logical reasoning","Truth-teller puzzles: track claims without guessing","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “Truth-teller puzzles: track claims without guessing” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"LOG-08","Logical reasoning","A worked “exactly one” logic problem","Practice","Learners building logic habits","logical reasoning practice","logic puzzles|must be true|conditional reasoning","Worked example","Beginner","Learn","Use explicit conditions and a small proof instead of intuition. Focus the article on “A worked “exactly one” logic problem” and include an original example or check.","/test","Try a fresh reasoning question","Yes: numbered reasoning steps","Editorial check; source only if claims added"
"PAT-01","Pattern recognition","How to find the rule in a number pattern","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “How to find the rule in a number pattern” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-02","Pattern recognition","Alternating patterns: separate odd and even positions","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “Alternating patterns: separate odd and even positions” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-03","Pattern recognition","Visual sequence changes you can describe in words","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “Visual sequence changes you can describe in words” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-04","Pattern recognition","When a pattern has more than one tempting rule","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “When a pattern has more than one tempting rule” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-05","Pattern recognition","Squares, cubes, and other common sequence families","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “Squares, cubes, and other common sequence families” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-06","Pattern recognition","Rotation, reflection, and repetition in pattern questions","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “Rotation, reflection, and repetition in pattern questions” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-07","Pattern recognition","How to test a pattern against every term","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “How to test a pattern against every term” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"PAT-08","Pattern recognition","Pattern recognition practice with explained answers","Practice","Learners who miss sequence rules","pattern recognition practice","number patterns|visual patterns|sequence rules","Explainer with examples","Beginner","Learn","Test a candidate rule against every term before committing. Focus the article on “Pattern recognition practice with explained answers” and include an original example or check.","/test","Practise a new pattern","Yes: rule-finding steps","Editorial check; examples must be original"
"NUM-01","Number sequences and numerical reasoning","Number sequences using differences","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Number sequences using differences” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-02","Number sequences and numerical reasoning","Number sequences using ratios","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Number sequences using ratios” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-03","Number sequences and numerical reasoning","Mixed operations in sequence puzzles","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Mixed operations in sequence puzzles” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-04","Number sequences and numerical reasoning","Missing-number grids and row relationships","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Missing-number grids and row relationships” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-05","Number sequences and numerical reasoning","Arithmetic progressions in everyday examples","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Arithmetic progressions in everyday examples” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-06","Number sequences and numerical reasoning","Finding a sequence rule without overfitting","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Finding a sequence rule without overfitting” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-07","Number sequences and numerical reasoning","Remainders and cycles in repeating number problems","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Remainders and cycles in repeating number problems” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"NUM-08","Number sequences and numerical reasoning","Number sequence practice set with step-by-step solutions","Practice","Students and everyday problem-solvers","number sequence practice","number series|ratios|arithmetic reasoning","Worked practice set","Beginner","Learn","Connect sequence methods to reliable arithmetic checks. Focus the article on “Number sequence practice set with step-by-step solutions” and include an original example or check.","/test","Try numerical reasoning practice","Yes: formula or worked answer","Editorial check; verify calculations"
"SPAT-01","Spatial reasoning","Mental rotation: a practical way to track each turn","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Mental rotation: a practical way to track each turn” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-02","Spatial reasoning","Cube faces and corner visibility","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Cube faces and corner visibility” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-03","Spatial reasoning","Lines of symmetry in unfamiliar shapes","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Lines of symmetry in unfamiliar shapes” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-04","Spatial reasoning","Paper-folding questions without a physical model","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Paper-folding questions without a physical model” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-05","Spatial reasoning","Nets, folds, and which faces touch","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Nets, folds, and which faces touch” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-06","Spatial reasoning","Spatial language: left, right, above, and behind","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Spatial language: left, right, above, and behind” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-07","Spatial reasoning","How to break a shape into smaller familiar parts","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “How to break a shape into smaller familiar parts” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"SPAT-08","Spatial reasoning","Spatial reasoning practice with text descriptions","Practice","Readers who prefer visual or text-described puzzles","spatial reasoning practice","mental rotation|symmetry|cube puzzles","Visual/text explainer","Intermediate","Learn","Translate rotations and shapes into language that also works without images. Focus the article on “Spatial reasoning practice with text descriptions” and include an original example or check.","/test","Try spatial questions","Yes: step-by-step transformation","Accessibility review; describe visuals in text"
"VER-01","Verbal reasoning","Verbal reasoning when a word is unfamiliar","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Verbal reasoning when a word is unfamiliar” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-02","Verbal reasoning","Categories, definitions, and the “odd one out”","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Categories, definitions, and the “odd one out”” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-03","Verbal reasoning","Ordering words by meaning or intensity","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Ordering words by meaning or intensity” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-04","Verbal reasoning","Reading a short paragraph for evidence","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Reading a short paragraph for evidence” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-05","Verbal reasoning","Synonyms, antonyms, and relationship clues","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Synonyms, antonyms, and relationship clues” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-06","Verbal reasoning","How context changes the best verbal answer","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “How context changes the best verbal answer” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-07","Verbal reasoning","Verbal reasoning for multilingual learners","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Verbal reasoning for multilingual learners” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"VER-08","Verbal reasoning","Verbal reasoning practice with explained choices","Practice","Readers working across vocabulary levels","verbal reasoning practice","word relationships|reading evidence|odd one out","Explainer with examples","Beginner","Learn","Use context and evidence rather than obscure vocabulary. Focus the article on “Verbal reasoning practice with explained choices” and include an original example or check.","/test","Practise verbal reasoning","Yes: decision checklist","Language/accessibility review"
"ANA-01","Analogies","How to solve an analogy by naming the relationship","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “How to solve an analogy by naming the relationship” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-02","Analogies","Part-to-whole analogies explained","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Part-to-whole analogies explained” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-03","Analogies","Tool-to-purpose analogies with everyday objects","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Tool-to-purpose analogies with everyday objects” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-04","Analogies","Opposite and contrast analogies","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Opposite and contrast analogies” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-05","Analogies","Cause-and-effect analogies","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Cause-and-effect analogies” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-06","Analogies","Category analogies that look deceptively similar","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Category analogies that look deceptively similar” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-07","Analogies","Analogy questions with two plausible options","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Analogy questions with two plausible options” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"ANA-08","Analogies","Analogy practice set with step-by-step answers","Practice","Learners practising transfer of relationships","analogy questions","word analogies|part whole|cause effect","Worked example","Beginner","Learn","Name the relationship before comparing the answer choices. Focus the article on “Analogy practice set with step-by-step answers” and include an original example or check.","/test","Try analogy questions","Yes: relationship types","Editorial check; avoid culture-specific assumptions"
"DED-01","Deductive reasoning","Deduction vs assumption: how to tell the difference","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “Deduction vs assumption: how to tell the difference” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-02","Deductive reasoning","Building a small logic grid from written clues","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “Building a small logic grid from written clues” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-03","Deductive reasoning","What “only if” means in a reasoning puzzle","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “What “only if” means in a reasoning puzzle” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-04","Deductive reasoning","How to prove that an answer must follow","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “How to prove that an answer must follow” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-05","Deductive reasoning","Using a contradiction to eliminate an option","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “Using a contradiction to eliminate an option” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-06","Deductive reasoning","Deductive reasoning with incomplete information","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “Deductive reasoning with incomplete information” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-07","Deductive reasoning","Multi-condition deductions without losing track","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “Multi-condition deductions without losing track” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"DED-08","Deductive reasoning","A careful deduction puzzle with a full proof","Practice","Intermediate puzzle solvers","deductive reasoning puzzles","logic grid|contradiction|necessary conclusion","Deep explainer","Intermediate","Learn","Show why the conclusion follows and which alternatives fail. Focus the article on “A careful deduction puzzle with a full proof” and include an original example or check.","/how-it-works","Learn how the test uses reasoning","Yes: proof outline","Editorial review; no unsupported claims"
"ORD-01","Ordering and arrangement","Ordering puzzles: turn words into a line","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Ordering puzzles: turn words into a line” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-02","Ordering and arrangement","Before, after, and between constraints","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Before, after, and between constraints” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-03","Ordering and arrangement","Scheduling four events from simple clues","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Scheduling four events from simple clues” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-04","Ordering and arrangement","Ranking problems with ties and unknown gaps","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Ranking problems with ties and unknown gaps” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-05","Ordering and arrangement","Circular ordering: what changes from a line","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Circular ordering: what changes from a line” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-06","Ordering and arrangement","Grouping and ordering in one puzzle","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Grouping and ordering in one puzzle” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-07","Ordering and arrangement","Fast checks for impossible schedules","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Fast checks for impossible schedules” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"ORD-08","Ordering and arrangement","Ordering practice set with answer explanations","Practice","Readers learning constraints","ordering puzzles","scheduling puzzles|ranking|arrangements","Worked practice set","Intermediate","Learn","Convert before/after and grouping clues into a visible order. Focus the article on “Ordering practice set with answer explanations” and include an original example or check.","/test","Try an ordering question","Yes: ordered steps","Editorial check; answer validation"
"BEG-01","Beginner puzzle explanations","Start with the facts you know","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Start with the facts you know” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-02","Beginner puzzle explanations","Draw a timeline before solving","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Draw a timeline before solving” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-03","Beginner puzzle explanations","Use elimination without making a leap","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Use elimination without making a leap” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-04","Beginner puzzle explanations","Count the choices before choosing one","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Count the choices before choosing one” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
"BEG-05","Beginner puzzle explanations","Re-read the question stem for scope words","Learning","New puzzle solvers","beginner reasoning puzzles","puzzle strategies|logic for beginners|elimination","Beginner guide","Beginner","Discover","Give a reliable first move for readers who feel stuck. Focus the article on “Re-read the question stem for scope words” and include an original example or check.","/docs","Open the quick-start guide","Yes: beginner checklist","Editorial check; examples must be original"
